SX5E Index,,TPX Index,,UKX Index,,IBEX Index,,SPX Index,,LBEATREU Index,,AEX Index,,INGEHIH LX Equity,,INGGOPC LX Equity,,INGEHYC LX Equity,,SGEURSE LX Equity,,SGIDXIW LX Equity,
41645,3069.16,41633,1258.18,41641,6717.91,41642,9798,41641,1831.98,41641,213.3435,41642,401.97,41645,7550.27,41641,312.3,41642,414.97,41642,1039.01294,41502,1231.76
41642,3074.43,41632,1257.55,41639,6749.09,41641,9760.3,41639,1848.36,41639,213.0461,41641,399.82,41642,7535.78,41639,311.99,41641,411.95,41641,1033.54199,41500,1253.36
41641,3059.93,41628,1261.64,41638,6731.27,41639,9916.7,41638,1841.07,41638,213.0269,41639,401.79,41641,7529.84,41638,309.62,41639,417.12,41639,1046.39294,41499,1259.75
41639,3109,41627,1263.07,41635,6750.87,41638,9901.9,41635,1841.4,41635,212.613,41638,399.77,41639,7524.73,41635,310.19,41638,416.32,41638,1044.12,41498,1256.04
41638,3100.93,41626,1250.49,41632,6694.17,41635,9900.1,41634,1842.02,41632,213.122,41635,400.99,41638,7521.2,41632,310.21,41635,416.78,41635,1046.08997,41495,1257.39
41635,3111.37,41625,1232.31,41631,6678.61,41632,9819.5,41632,1833.32,41631,213.1028,41632,396.61,41635,7516.67,41631,308.82,41632,412.45,41631,1032.76599,41494,1261.79
41632,3072.88,41624,1222.95,41628,6606.58,41631,9758.4,41631,1827.99,41628,213.3749,41631,395.52,41632,7517.99,41628,307.38,41631,411.6,41628,1025.16895,41493,1256.87
41631,3070.91,41621,1238.88,41627,6584.7,41628,9689.9,41628,1818.32,41627,213.4342,41628,391.56,41631,7516.24,41627,306.1,41628,409.51,41627,1019.258,41492,1261.31
41628,3049.35,41620,1242.23,41626,6492.08,41627,9664.3,41627,1809.6,41626,213.4965,41627,387.83,41628,7511.45,41626,303.22,41627,406.36,41626,1002.21899,41491,1268.6
41627,3031.05,41619,1250.45,41625,6486.19,41626,9443.6,41626,1810.65,41625,213.6676,41626,381.17,41627,7507.6,41625,300.54,41626,399.94,41625,992.5014,41488,1270.32
41626,2975.09,41618,1256.33,41624,6522.2,41625,9343.4,41625,1781,41624,213.6221,41625,378.17,41626,7496.88,41624,300.91,41625,396.9,41624,1002.41199,41487,1268.3
41625,2941.76,41617,1255.32,41621,6439.96,41624,9429.5,41624,1786.54,41621,213.5247,41624,381.44,41625,7494.86,41621,299.69,41624,400.52,41621,986.46912,41486,1252.46
41624,2978.77,41614,1235.83,41620,6445.25,41621,9272.7,41621,1775.32,41620,213.4038,41621,376.86,41624,7492.13,41620,299.41,41621,394.91,41620,988.38239,41485,1252.63
41621,2921.92,41613,1229.65,41619,6507.72,41620,9272.1,41620,1775.5,41619,213.6611,41620,377.82,41621,7489.65,41619,300.79,41620,396.13,41619,995.86243,41484,1252.08
41620,2928.12,41612,1240.99,41618,6523.31,41619,9358.7,41619,1782.22,41618,213.5738,41619,383.15,41620,7487.31,41618,304.18,41619,399.01,41618,1000.43103,41481,1256.71
41619,2947.31,41611,1262.54,41617,6559.48,41618,9438.3,41618,1802.62,41617,213.2867,41618,385.56,41619,7487.21,41617,305.59,41618,401.56,41617,1007.58502,41480,1255.68
41618,2960.86,41610,1258.94,41614,6551.99,41617,9487.4,41617,1808.37,41614,213.0961,41617,387.38,41618,7484.32,41614,305.08,41617,403.66,41614,1004.04498,41479,1252.53
41617,2988.67,41607,1258.66,41613,6498.33,41614,9400.5,41614,1805.09,41613,212.8878,41614,387.01,41617,7480.87,41613,304.22,41614,402.09,41613,996.8103,41478,1257.31
41614,2979.94,41606,1261.04,41612,6509.97,41613,9392.1,41613,1785.03,41612,213.4331,41613,383.71,41614,7474.41,41612,306.83,41613,399.58,41612,1007.22302,41477,1259.65
41613,2953.17,41605,1247.08,41611,6532.43,41612,9540.5,41612,1792.81,41611,214.1299,41612,388.14,41613,7471.75,41611,307.97,41612,404.1,41611,1013.71698,41474,1257.21
41612,2991.76,41604,1253.02,41610,6595.33,41611,9605,41611,1795.15,41610,213.9531,41611,390.57,41612,7472.76,41610,311.01,41611,406.55,41610,1034.16895,41473,1255.15
41611,3013.88,41603,1259.61,41607,6650.57,41610,9745.5,41610,1800.9,41607,214.2222,41610,395.99,41611,7469.09,41607,311.04,41610,414.4,41607,1037.63501,41472,1248.82
