Date,SX5E Index,TPX Index,UKX Index,IBEX Index,SPX Index,LBEATREU Index,AEX Index,INGGOPC LX Equity,INGEHYC LX Equity,INGEHIH LX Equity,SGEURSE LX Equity,SGIDXIW LX Equity
41757,3165.84,1160.74,6700.16,10320.9,1869.43,221.2312,393.73,314.63,440.36,7784.03,1077.31299,1356.46
41756,3147.4,1169.99,6685.69,10306.2,1863.4,221.3881,392.85,315.58,438.66,7783.09,1074.21497,1356.46
41755,3147.4,1169.99,6685.69,10306.2,1863.4,221.3881,392.85,315.58,438.66,7783.09,1074.21497,1356.46
41754,3147.4,1169.99,6685.69,10306.2,1863.4,221.3881,392.85,315.58,438.66,7783.09,1074.21497,1356.46
41753,3189.81,1164.9,6703,10462,1878.61,221.033,397.1,317.33,444.24,7781.68,1087.10706,1356.46
41752,3175.97,1173.81,6674.74,10424.4,1875.39,221.1323,397.34,317.38,442.22,7774.25,1083.70203,1356.46
41751,3199.69,1162.5,6681.76,10437.8,1879.55,220.9573,398.3,319.3,443.54,7772.98,1090.21399,1356.46
41750,3155.81,1171.4,6625.25,10292.4,1871.89,221.033,396.76,316.23,437.55,7763.92,1074.67102,1356.46
41749,3155.81,1173.37,6625.25,10292.4,1864.85,221.033,396.76,316.23,437.55,7763.92,1074.67102,1356.46
41748,3155.81,1173.37,6625.25,10292.4,1864.85,221.033,396.76,316.23,437.55,7763.92,1074.67102,1356.46
41747,3155.81,1173.37,6625.25,10292.4,1864.85,221.033,396.76,316.23,437.55,7763.92,1074.67102,1356.46
41746,3155.81,1166.59,6625.25,10292.4,1864.85,221.033,396.76,316.23,437.55,7763.92,1074.67102,1356.46
41745,3139.26,1166.55,6584.17,10267.9,1862.31,221.3041,395.99,316.22,434.75,7762.52,1068.74695,1356.46
41744,3091.52,1136.09,6541.61,10103.5,1842.98,221.3228,392.66,312.85,428.12,7764.46,1051.36694,1356.46
41743,3131.57,1132.76,6583.76,10188.2,1830.61,220.7115,395.54,313.45,433.11,7767.21,1064.55396,1356.46
41742,3116.54,1134.09,6561.7,10205.4,1815.69,220.6496,395.64,310.32,433.4,7769.34,1062.89502,1356.46
41741,3116.54,1134.09,6561.7,10205.4,1815.69,220.6496,395.64,310.32,433.4,7769.34,1062.89502,1356.46
41740,3116.54,1134.09,6561.7,10205.4,1815.69,220.6496,395.64,310.32,433.4,7769.34,1062.89502,1356.46
41739,3152.86,1149.49,6641.97,10336.1,1833.08,220.6545,401.9,313.49,437.22,7775.32,1076.43005,1356.46
41738,3182.79,1150.44,6635.61,10485.2,1872.18,220.1106,403.39,318.27,440.19,7767.77,1084.68396,1356.46
41737,3177.66,1174.56,6590.69,10480.5,1851.96,220.1974,402.54,316.31,437.97,7762.45,1081.01501,1356.46
41736,3185.97,1196.84,6622.84,10606.2,1845.04,220.4488,404.04,315.96,440.97,7762.77,1087.05005,1356.46
41735,3230.33,1215.89,6695.55,10677.2,1865.09,220.4254,407.46,320.28,445.09,7761.9,1100.95605,1356.46
41734,3230.33,1215.89,6695.55,10677.2,1865.09,220.4254,407.46,320.28,445.09,7761.9,1100.95605,1356.46
41733,3230.33,1215.89,6695.55,10677.2,1865.09,220.4254,407.46,320.28,445.09,7761.9,1100.95605,1356.46
41732,3206.76,1216.77,6649.14,10584.1,1888.77,219.6939,405.69,321.84,441.45,7752.89,1093.65295,1356.46
41731,3187.45,1211.36,6659.04,10435.8,1890.9,219.3952,406.14,321.73,439.12,7748.53,1088.95996,1356.46
41730,3186.34,1204.25,6652.61,10463.1,1885.52,219.7002,405.62,319.4,438.7,7739.63,1088.99194,1356.46
41729,3161.6,1202.89,6598.37,10340.5,1872.34,219.8381,403.21,317.33,433.8,7732.23,1079.59497,1356.46
41728,3172.43,1186.52,6615.58,10328.9,1857.62,219.8807,401.79,315.66,432.28,7722.91,1079.547,1356.46
41727,3172.43,1186.52,6615.58,10328.9,1857.62,219.8807,401.79,315.66,432.28,7722.91,1079.547,1356.46
41726,3172.43,1186.52,6615.58,10328.9,1857.62,219.8807,401.79,315.66,432.28,7722.91,1079.547,1356.46
41725,3133.75,1176.9,6588.32,10199,1849.04,220.0289,398.59,313.79,426.58,7716.39,1067.88599,1356.46
41724,3130.17,1172.07,6605.3,10140.8,1852.56,219.597,396.89,312.4,427.24,7713.47,1067.09204,1356.46
41723,3096.64,1163.7,6604.89,9990.5,1865.62,219.3063,393.13,312.85,423.19,7708.88,1055.35095,1356.46
41722,3052.91,1163.04,6520.39,9913.1,1857.44,219.1013,388.23,311.59,419.09,7714.01,1041.61804,1356.46
41721,3096.49,1145.97,6557.17,10053.1,1866.52,218.7506,391.36,313.13,424.78,7710.49,1055.80701,1356.46
41720,3096.49,1145.97,6557.17,10053.1,1866.52,218.7506,391.36,313.13,424.78,7710.49,1055.80701,1356.46
41719,3096.49,1145.97,6557.17,10053.1,1866.52,218.7506,391.36,313.13,424.78,7710.49,1055.80701,1356.46
41718,3088.9,1145.97,6542.44,10079.9,1872.01,218.5162,390.82,312.79,424.55,7706.8,1054.87903,1356.46
41717,3076.36,1164.33,6573.13,10093.3,1860.77,218.9966,388.88,311.49,423.83,7706.99,1052.43896,1356.46
41716,3073.75,1165.94,6605.28,10051.4,1872.25,219.2659,389.37,312.62,423.55,7701.78,1052.44202,1356.46
41715,3049.19,1154.93,6568.35,9975,1858.83,219.1772,386.92,310.68,418.45,7691.51,1043.625,1356.46
41714,3004.64,1164.7,6527.89,9812,1841.13,219.1795,382.65,308.96,412.57,7681.66,1028.77502,1356.46
41713,3004.64,1164.7,6527.89,9812,1841.13,219.1795,382.65,308.96,412.57,7681.66,1028.77502,1356.46
41712,3004.64,1164.7,6527.89,9812,1841.13,219.1795,382.65,308.96,412.57,7681.66,1028.77502,1356.46
41711,3019.54,1203.46,6553.78,9950.3,1846.34,219.1825,386.06,310.11,416.83,7697.66,1034.85596,1356.46
41710,3065.46,1206.94,6620.9,10070.4,1868.2,218.7979,391.41,313.42,422.35,7698.92,1049.12097,1356.46
41709,3092.55,1233.21,6685.52,10163.3,1867.63,218.5695,394.29,316,425.71,7709.75,1059.73206,1356.46
41708,3092.79,1227.61,6689.45,10194.6,1877.17,218.7406,393.4,316.75,426.5,7710.29,1059.56299,1356.46
41707,3095.31,1236.97,6712.67,10164.2,1878.04,218.441,396.28,318.04,426.94,7705.43,1061.88196,1356.46
41706,3095.31,1236.97,6712.67,10164.2,1878.04,218.441,396.28,318.04,426.94,7705.43,1061.88196,1356.46
41705,3095.31,1236.97,6712.67,10164.2,1878.04,218.441,396.28,318.04,426.94,7705.43,1061.88196,1356.46
